Cohort,Side,Model,CV_BalancedAccuracy,CV_F1_Macro,Test_Accuracy,Test_BalancedAccuracy,Test_Sensitivity,Test_Specificity,Test_F1_Macro,Test_ROC_AUC,RunDir,Status,Error
All_coef_Ds004469,left,MLP,0.4507154213036566,0.43209876543209874,0.8333333333333334,0.5,0.0,1.0,0.45454545454545453,0.04999999999999999,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\leakage_free_runs\All_coef_Ds004469\left\MLP\20260919_161332,,
All_coef_Ds004469,left,ResNet,,,,,,,,,,FAIL,"RuntimeError('Given groups=1, weight of size [32, 1, 5], expected input[1, 32, 507] to have 1 channels, but got 32 channels instead')"
All_coef_Ds004469,left,ResNetAE,,,,,,,,,,FAIL,"RuntimeError('Given groups=1, weight of size [32, 1, 5], expected input[1, 32, 507] to have 1 channels, but got 32 channels instead')"
All_coef_Ds004469,left,MobileNet,,,,,,,,,,FAIL,"RuntimeError('Given groups=1, weight of size [16, 1, 3], expected input[1, 32, 507] to have 1 channels, but got 32 channels instead')"
All_coef_Ds004469,left,SqueezeNet,,,,,,,,,,FAIL,"RuntimeError('Given groups=1, weight of size [16, 1, 3], expected input[1, 32, 507] to have 1 channels, but got 32 channels instead')"
All_coef_Ds004469,right,SVM,0.5,0.4421052631578948,0.9166666666666666,0.5,0.0,1.0,0.4782608695652174,0.18181818181818177,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\leakage_free_runs\All_coef_Ds004469\right\SVM\20260919_161333,,
All_coef_Ds004469,right,MLP,0.47619047619047616,0.4301075268817204,0.9166666666666666,0.5,0.0,1.0,0.4782608695652174,0.7272727272727273,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\leakage_free_runs\All_coef_Ds004469\right\MLP\20260919_161333,,
All_coef_Ds004469,right,ResNet,,,,,,,,,,FAIL,"RuntimeError('Given groups=1, weight of size [32, 1, 5], expected input[1, 32, 507] to have 1 channels, but got 32 channels instead')"
All_coef_Ds004469,right,ResNetAE,,,,,,,,,,FAIL,"RuntimeError('Given groups=1, weight of size [32, 1, 5], expected input[1, 32, 507] to have 1 channels, but got 32 channels instead')"
All_coef_Ds004469,right,MobileNet,,,,,,,,,,FAIL,"RuntimeError('Given groups=1, weight of size [16, 1, 3], expected input[1, 32, 507] to have 1 channels, but got 32 channels instead')"
All_coef_Ds004469,right,SqueezeNet,,,,,,,,,,FAIL,"RuntimeError('Given groups=1, weight of size [16, 1, 3], expected input[1, 32, 507] to have 1 channels, but got 32 channels instead')"
All_coef_Ds005602,left,SVM,0.8587301587301588,0.8653223432440389,0.8888888888888888,0.8873684210526316,0.88,0.8947368421052632,0.8847058823529412,0.9263157894736843,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\leakage_free_runs\All_coef_Ds005602\left\SVM\20260919_161334,,
All_coef_Ds005602,left,MLP,0.8841991341991342,0.8886353263350069,0.8571428571428571,0.8542105263157895,0.84,0.868421052631579,0.851764705882353,0.9168421052631578,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\leakage_free_runs\All_coef_Ds005602\left\MLP\20260919_161335,,
All_coef_Ds005602,left,ResNet,,,,,,,,,,FAIL,"RuntimeError('Given groups=1, weight of size [32, 1, 5], expected input[1, 32, 507] to have 1 channels, but got 32 channels instead')"
All_coef_Ds005602,left,ResNetAE,,,,,,,,,,FAIL,"RuntimeError('Given groups=1, weight of size [32, 1, 5], expected input[1, 32, 507] to have 1 channels, but got 32 channels instead')"
All_coef_Ds005602,left,MobileNet,,,,,,,,,,FAIL,"RuntimeError('Given groups=1, weight of size [16, 1, 3], expected input[1, 32, 507] to have 1 channels, but got 32 channels instead')"
All_coef_Ds005602,left,SqueezeNet,,,,,,,,,,FAIL,"RuntimeError('Given groups=1, weight of size [16, 1, 3], expected input[1, 32, 507] to have 1 channels, but got 32 channels instead')"
All_coef_Ds005602,right,SVM,0.8620430447855674,0.8729721456994184,0.8571428571428571,0.8229665071770335,0.7368421052631579,0.9090909090909091,0.8278165806255693,0.916267942583732,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\leakage_free_runs\All_coef_Ds005602\right\SVM\20260919_161337,,
All_coef_Ds005602,right,MLP,0.870509574299731,0.8752530009418649,0.8412698412698413,0.8265550239234449,0.7894736842105263,0.8636363636363636,0.8168604651162792,0.9114832535885167,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\leakage_free_runs\All_coef_Ds005602\right\MLP\20260919_161338,,
All_coef_Ds005602,right,ResNet,,,,,,,,,,FAIL,"RuntimeError('Given groups=1, weight of size [32, 1, 5], expected input[1, 32, 507] to have 1 channels, but got 32 channels instead')"
All_coef_Ds005602,right,ResNetAE,,,,,,,,,,FAIL,"RuntimeError('Given groups=1, weight of size [32, 1, 5], expected input[1, 32, 507] to have 1 channels, but got 32 channels instead')"
All_coef_Ds005602,right,MobileNet,,,,,,,,,,FAIL,"RuntimeError('Given groups=1, weight of size [16, 1, 3], expected input[1, 32, 507] to have 1 channels, but got 32 channels instead')"
All_coef_Ds005602,right,SqueezeNet,,,,,,,,,,FAIL,"RuntimeError('Given groups=1, weight of size [16, 1, 3], expected input[1, 32, 507] to have 1 channels, but got 32 channels instead')"
