Protocol,ProtocolKey,Cohort,Side,Model,EvalSeed,OptunaTrials,BestOOF_BalancedAccuracy,Test_Accuracy,Test_BalancedAccuracy,Test_Sensitivity,Test_Specificity,Test_F1_Macro,Test_ROC_AUC,BestParams,RunDir
Optuna no-PLS coefficient,coef_raw,All_coef,right,ResNetAE,2026,10,0.6481152993348116,0.8,0.7045454545454546,0.5,0.9090909090909091,0.7204968944099379,0.8354545454545453,"{""batch_size"": 8, ""dropout"": 0.16239780813448107, ""lr"": 0.0003574712922600243, ""recon_weight"": 0.011900590783184251, ""weight_decay"": 0.006351221010640704}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\final\coef_raw\All_coef\right\ResNetAE\seed_2026
Optuna no-PLS coefficient,coef_raw,All_coef,right,MobileNet,42,10,0.6884146341463414,0.7466666666666667,0.5886363636363636,0.25,0.9272727272727272,0.5939013964092335,0.8063636363636364,"{""batch_size"": 8, ""dropout"": 0.2465447373174767, ""lr"": 0.0004345454109729479, ""weight_decay"": 1.461896279370496e-05}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\final\coef_raw\All_coef\right\MobileNet\seed_42
Optuna no-PLS coefficient,coef_raw,All_coef,right,MobileNet,123,10,0.6884146341463414,0.7733333333333333,0.6386363636363637,0.35,0.9272727272727272,0.6543778801843317,0.8536363636363637,"{""batch_size"": 8, ""dropout"": 0.2465447373174767, ""lr"": 0.0004345454109729479, ""weight_decay"": 1.461896279370496e-05}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\final\coef_raw\All_coef\right\MobileNet\seed_123
Optuna no-PLS coefficient,coef_raw,All_coef,right,MobileNet,2026,10,0.6884146341463414,0.8,0.7522727272727272,0.65,0.8545454545454545,0.7482658312821661,0.8054545454545454,"{""batch_size"": 8, ""dropout"": 0.2465447373174767, ""lr"": 0.0004345454109729479, ""weight_decay"": 1.461896279370496e-05}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\final\coef_raw\All_coef\right\MobileNet\seed_2026
Optuna no-PLS coefficient,coef_raw,All_coef,right,SqueezeNet,42,10,0.5170731707317073,0.68,0.4636363636363636,0.0,0.9272727272727272,0.4047619047619048,0.4263636363636364,"{""batch_size"": 8, ""dropout"": 0.4579309401710595, ""lr"": 0.000642033033629786, ""weight_decay"": 5.4880470007660465e-06}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\final\coef_raw\All_coef\right\SqueezeNet\seed_42
Optuna no-PLS coefficient,coef_raw,All_coef,right,SqueezeNet,123,10,0.5170731707317073,0.64,0.5159090909090909,0.25,0.7818181818181819,0.5156661085864626,0.49727272727272726,"{""batch_size"": 8, ""dropout"": 0.4579309401710595, ""lr"": 0.000642033033629786, ""weight_decay"": 5.4880470007660465e-06}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\final\coef_raw\All_coef\right\SqueezeNet\seed_123
Optuna no-PLS coefficient,coef_raw,All_coef,right,SqueezeNet,2026,10,0.5170731707317073,0.7066666666666667,0.4818181818181818,0.0,0.9636363636363636,0.4140625,0.45181818181818184,"{""batch_size"": 8, ""dropout"": 0.4579309401710595, ""lr"": 0.000642033033629786, ""weight_decay"": 5.4880470007660465e-06}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\final\coef_raw\All_coef\right\SqueezeNet\seed_2026
Optuna no-PLS coefficient,coef_raw,All_coef_Ds004469,left,SVM,42,10,0.5508744038155803,0.8333333333333334,0.5,0.0,1.0,0.45454545454545453,0.9500000000000001,"{""C"": 0.030771802712506867, ""gamma_mode"": ""auto""}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\final\coef_raw\All_coef_Ds004469\left\SVM\seed_42
Optuna no-PLS coefficient,coef_raw,All_coef_Ds004469,left,SVM,123,10,0.5508744038155803,0.16666666666666666,0.5,1.0,0.0,0.14285714285714285,0.5,"{""C"": 0.030771802712506867, ""gamma_mode"": ""auto""}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\final\coef_raw\All_coef_Ds004469\left\SVM\seed_123
Optuna no-PLS coefficient,coef_raw,All_coef_Ds004469,left,SVM,2026,10,0.5508744038155803,0.16666666666666666,0.5,1.0,0.0,0.14285714285714285,0.5,"{""C"": 0.030771802712506867, ""gamma_mode"": ""auto""}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\final\coef_raw\All_coef_Ds004469\left\SVM\seed_2026
Optuna no-PLS coefficient,coef_raw,All_coef_Ds004469,left,MLP,42,10,0.568362480127186,0.6666666666666666,0.4,0.0,0.8,0.4000000000000001,0.04999999999999999,"{""batch_size"": 16, ""dropout"": 0.23013213230530574, ""lr"": 0.0007641361869233315, ""weight_decay"": 0.0048696409415209}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\final\coef_raw\All_coef_Ds004469\left\MLP\seed_42
Optuna no-PLS coefficient,coef_raw,All_coef_Ds004469,left,MLP,123,10,0.568362480127186,0.6666666666666666,0.4,0.0,0.8,0.4000000000000001,0.09999999999999998,"{""batch_size"": 16, ""dropout"": 0.23013213230530574, ""lr"": 0.0007641361869233315, ""weight_decay"": 0.0048696409415209}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\final\coef_raw\All_coef_Ds004469\left\MLP\seed_123
Optuna no-PLS coefficient,coef_raw,All_coef_Ds004469,left,MLP,2026,10,0.568362480127186,0.75,0.45,0.0,0.9,0.4285714285714286,0.04999999999999999,"{""batch_size"": 16, ""dropout"": 0.23013213230530574, ""lr"": 0.0007641361869233315, ""weight_decay"": 0.0048696409415209}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\final\coef_raw\All_coef_Ds004469\left\MLP\seed_2026
Optuna no-PLS coefficient,coef_raw,All_coef_Ds004469,left,ResNet,42,10,0.5747217806041336,0.6666666666666666,0.4,0.0,0.8,0.4000000000000001,0.30000000000000004,"{""batch_size"": 8, ""dropout"": 0.16239780813448107, ""lr"": 0.0003574712922600243, ""weight_decay"": 0.006351221010640704}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\final\coef_raw\All_coef_Ds004469\left\ResNet\seed_42
