Protocol,ProtocolKey,Cohort,Side,Model,OptunaTrials,BestTrial,BestOOF_BalancedAccuracy,BestParams,StudyDir
Optuna no-PLS coefficient,coef_raw,All_coef_Ds005602,left,ResNetAE,10,3,0.69992784992785,"{""batch_size"": 32, ""dropout"": 0.1798695128633439, ""lr"": 0.000160712385120399, ""recon_weight"": 0.04666963767236924, ""weight_decay"": 1.4742753159914662e-05}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\studies\coef_raw\All_coef_Ds005602\left\ResNetAE
Optuna no-PLS coefficient,coef_raw,All_coef_Ds005602,left,MobileNet,10,0,0.7216450216450216,"{""batch_size"": 8, ""dropout"": 0.16239780813448107, ""lr"": 0.0003574712922600243, ""weight_decay"": 0.006351221010640704}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\studies\coef_raw\All_coef_Ds005602\left\MobileNet
Optuna no-PLS coefficient,coef_raw,All_coef_Ds005602,left,SqueezeNet,10,3,0.5170995670995672,"{""batch_size"": 8, ""dropout"": 0.2465447373174767, ""lr"": 0.0004345454109729479, ""weight_decay"": 1.461896279370496e-05}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\studies\coef_raw\All_coef_Ds005602\left\SqueezeNet
Optuna no-PLS coefficient,coef_raw,All_coef_Ds005602,right,SVM,10,2,0.8747032758347839,"{""C"": 75.7947995334801, ""gamma_mode"": ""auto""}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\studies\coef_raw\All_coef_Ds005602\right\SVM
Optuna no-PLS coefficient,coef_raw,All_coef_Ds005602,right,MLP,10,8,0.8845940813419845,"{""batch_size"": 8, ""dropout"": 0.4579309401710595, ""lr"": 0.000642033033629786, ""weight_decay"": 5.4880470007660465e-06}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\studies\coef_raw\All_coef_Ds005602\right\MLP
Optuna no-PLS coefficient,coef_raw,All_coef_Ds005602,right,ResNet,10,6,0.691644247507517,"{""batch_size"": 8, ""dropout"": 0.29807076404450805, ""lr"": 0.00028180680291847244, ""weight_decay"": 2.4586032763280077e-06}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\studies\coef_raw\All_coef_Ds005602\right\ResNet
Optuna no-PLS coefficient,coef_raw,All_coef_Ds005602,right,ResNetAE,10,4,0.6875296724165216,"{""batch_size"": 8, ""dropout"": 0.4795542149013333, ""lr"": 0.000750011895041699, ""recon_weight"": 0.18043311207136256, ""weight_decay"": 1.5339162591163623e-06}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\studies\coef_raw\All_coef_Ds005602\right\ResNetAE
Optuna no-PLS coefficient,coef_raw,All_coef_Ds005602,right,MobileNet,10,3,0.7649153347048583,"{""batch_size"": 8, ""dropout"": 0.2465447373174767, ""lr"": 0.0004345454109729479, ""weight_decay"": 1.461896279370496e-05}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\studies\coef_raw\All_coef_Ds005602\right\MobileNet
Optuna no-PLS coefficient,coef_raw,All_coef_Ds005602,right,SqueezeNet,10,1,0.50858521918025,"{""batch_size"": 16, ""dropout"": 0.4879639408647978, ""lr"": 0.00012184186502221769, ""weight_decay"": 0.0029154431891537554}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\studies\coef_raw\All_coef_Ds005602\right\SqueezeNet
Optuna fold-local PLS-DA coefficient,coef_plsda,All_coef,left,SVM,10,0,0.7930713901257522,"{""C"": 2.481040974867813, ""gamma_mode"": ""auto""}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\studies\coef_plsda\All_coef\left\SVM
